Area Type,Area,NAICS,NAICS Title,Year,Establishments,Average Employment,Total Wage,Annual Average Salary                                                                                                                                                  
Labor Market Area,New York City Region,713,"Amusement, Gambling & Recreation Ind",2012,1011,24356,$666282533,$27356
Labor Market Area,New York City Region,72,Accommodation and Food Services,2012,19755,288215,$8579247228,$29767
Labor Market Area,New York City Region,721,Accommodation,2012,685,46646,$2534062744,$54325
Labor Market Area,New York City Region,722,Food Services and Drinking Places,2012,19070,241569,$6045184484,$25025
Labor Market Area,New York City Region,81,"Other Services, Ex. Public Admin",2012,32966,152475,$6578970388,$43148
Labor Market Area,New York City Region,811,Repair and Maintenance,2012,3355,13945,$449817729,$32257
Labor Market Area,New York City Region,812,Personal and Laundry Services,2012,10421,49736,$1383875974,$27824
Labor Market Area,New York City Region,813,Membership Organizations & Associations,2012,6422,72212,$4189535002,$58017
Labor Market Area,New York City Region,814,Private Households,2012,12768,16582,$555741683,$33515
Labor Market Area,New York City Region,953,Local Government,2012,110,443127,$24831056873,$56036
Labor Market Area,New York City Region,99,Unclassified,2012,13897,11536,$450368170,$39040
Labor Market Area,New York City Region,0,"Total, All Industries",2012,243956,3748138,$301969254816,$80565
Labor Market Area,New York City Region,1,"Total, All Private",2012,243327,3216972,$270800477520,$84179
Labor Market Area,New York City Region,95,"Total, All Government",2012,629,531166,$31168777296,$58680
Labor Market Area,New York City Region,951,Federal Government,2012,396,50306,$3950597790,$78531
Labor Market Area,New York City Region,952,State Government,2012,123,37733,$2387122633,$63264
Labor Market Area,New York City Region,11,"Agriculture, Forestry, Fishing & Hunting",2011,51,245,$12049012,$49180
Labor Market Area,New York City Region,111,Crop Production,2011,23,69,$2015942,$29217
Labor Market Area,New York City Region,112,Animal Production,2011,15,78,$2838863,$36396
Labor Market Area,New York City Region,115,Agriculture & Forestry Support Activity,2011,12,97,$7189437,$74118
Labor Market Area,New York City Region,21,Mining,2011,10,48,$7327169,$152649
Labor Market Area,New York City Region,211,Oil and Gas Extraction,2011,3,12,$2325622,$193802
Labor Market Area,New York City Region,212,Mining (except Oil and Gas),2011,4,32,$4867172,$152099
Labor Market Area,New York City Region,23,Construction,2011,12133,107829,$7677182640,$71198
Labor Market Area,New York City Region,236,Construction of Buildings,2011,4718,29362,$2074009559,$70636
Labor Market Area,New York City Region,237,Heavy and Civil Engineering Construction,2011,278,8258,$804986680,$97480
Labor Market Area,New York City Region,238,Specialty Trade Contractors,2011,7137,70208,$4798186401,$68342
Labor Market Area,New York City Region,31,Manufacturing,2011,5976,74774,$3993845545,$53412
Labor Market Area,New York City Region,311,Food Manufacturing,2011,1024,14405,$474321003,$32928
Labor Market Area,New York City Region,312,Beverage & Tobacco Product Manufacturing,2011,34,828,$236289579,$285374
Labor Market Area,New York City Region,313,Textile Mills,2011,162,1423,$106626290,$74931
Labor Market Area,New York City Region,314,Textile Product Mills,2011,139,1027,$68094503,$66304
Labor Market Area,New York City Region,315,Apparel Manufacturing,2011,1174,16336,$842406816,$51568
Labor Market Area,New York City Region,316,Leather and Allied Product Manufacturing,2011,67,496,$22925306,$46220
Labor Market Area,New York City Region,321,Wood Product Manufacturing,2011,75,687,$30381462,$44223
Labor Market Area,New York City Region,322,Paper Manufacturing,2011,61,1441,$76794980,$53293
Labor Market Area,New York City Region,323,Printing and Related Support Activities,2011,680,6427,$395975064,$61611
Labor Market Area,New York City Region,324,Petroleum & Coal Products Manufacturing,2011,8,64,$5079967,$79374
Labor Market Area,New York City Region,325,Chemical Manufacturing,2011,123,3295,$284739813,$86416
Labor Market Area,New York City Region,326,Plastics & Rubber Products Manufacturing,2011,72,1656,$64380318,$38877
Labor Market Area,New York City Region,327,Nonmetallic Mineral Product Mfg,2011,117,1446,$78907703,$54570
Labor Market Area,New York City Region,331,Primary Metal Manufacturing,2011,39,315,$23364397,$74173
Labor Market Area,New York City Region,332,Fabricated Metal Product Manufacturing,2011,420,5883,$294426172,$50047
Labor Market Area,New York City Region,333,Machinery Manufacturing,2011,99,1475,$72953760,$49460
Labor Market Area,New York City Region,334,Computer and Electronic Product Mfg,2011,122,2893,$177153981,$61235
Labor Market Area,New York City Region,335,Electrical Equipment and Appliances,2011,67,881,$52062264,$59095
Labor Market Area,New York City Region,336,Transportation Equipment Manufacturing,2011,51,1332,$83889507,$62980
Labor Market Area,New York City Region,337,Furniture and Related Product Mfg,2011,402,3189,$143081938,$44867
Labor Market Area,New York City Region,339,Miscellaneous Manufacturing,2011,1044,9277,$459990722,$49584
Labor Market Area,New York City Region,42,Wholesale Trade,2011,15336,130264,$10549316791,$80984
Labor Market Area,New York City Region,423,"Merchant Wholesalers, Durable Goods",2011,6217,48978,$3755911315,$76686
Labor Market Area,New York City Region,424,"Merchant Wholesalers, Nondurable Goods",2011,6846,69507,$5618346563,$80831
Labor Market Area,New York City Region,425,Electronic Markets and Agents/Brokers,2011,2274,11779,$1175058913,$99759
Labor Market Area,New York City Region,44,Retail Trade,2011,31058,311097,$11162175445,$35880
Labor Market Area,New York City Region,441,Motor Vehicle and Parts Dealers,2011,770,10345,$556974004,$53840
Labor Market Area,New York City Region,442,Furniture and Home Furnishings Stores,2011,1396,9579,$384039470,$40092
Labor Market Area,New York City Region,443,Electronics and Appliance Stores,2011,1704,17282,$802993851,$46464
Labor Market Area,New York City Region,444,Building Material & Garden Supply Stores,2011,1217,12849,$462157022,$35968
Labor Market Area,New York City Region,445,Food and Beverage Stores,2011,8974,69499,$1710363579,$24610
Labor Market Area,New York City Region,446,Health and Personal Care Stores,2011,4010,38540,$1543514129,$40050
Labor Market Area,New York City Region,447,Gasoline Stations,2011,626,3051,$67232844,$22036
Labor Market Area,New York City Region,448,Clothing and Clothing Accessories Stores,2011,5777,70493,$2633862259,$37363
Labor Market Area,New York City Region,451,Sporting Goods/Hobby/Book/Music Stores,2011,1254,11786,$289932002,$24600
Labor Market Area,New York City Region,452,General Merchandise Stores,2011,1282,39666,$1174705005,$29615
Labor Market Area,New York City Region,453,Miscellaneous Store Retailers,2011,3226,18244,$837533012,$45907
Labor Market Area,New York City Region,454,Nonstore Retailers,2011,824,9763,$698868268,$71583
Labor Market Area,New York City Region,48,Transportation and Warehousing,2011,4638,102743,$5017003731,$48831
Labor Market Area,New York City Region,481,Air Transportation,2011,146,28069,$1668514198,$59443
Labor Market Area,New York City Region,483,Water Transportation,2011,47,1632,$147648836,$90471
Labor Market Area,New York City Region,484,Truck Transportation,2011,1152,9036,$382567859,$42338
Labor Market Area,New York City Region,485,Transit and Ground Passenger Transport,2011,1318,28672,$1177886227,$41081
Labor Market Area,New York City Region,487,Scenic and Sightseeing Transportation,2011,68,1529,$45550859,$29791
Labor Market Area,New York City Region,488,Support Activities for Transportation,2011,1108,14573,$784014257,$53799
Labor Market Area,New York City Region,492,Couriers and Messengers,2011,638,15584,$670938356,$43053
Labor Market Area,New York City Region,493,Warehousing and Storage,2011,157,3623,$138101068,$38118
Labor Market Area,New York City Region,51,Information,2011,5579,157255,$17454705504,$110996
Labor Market Area,New York City Region,511,Publishing Industries,2011,1119,45572,$5152428061,$113061
Labor Market Area,New York City Region,512,Motion Picture & Sound Recording Ind,2011,2370,37978,$3648686187,$96074
Labor Market Area,New York City Region,515,Broadcasting (except Internet),2011,228,28310,$3607977777,$127445
Labor Market Area,New York City Region,517,Telecommunications,2011,781,20641,$2172875546,$105270
Labor Market Area,New York City Region,518,"ISPs, Search Portals, & Data Processing",2011,345,5132,$590428362,$115048
Labor Market Area,New York City Region,519,Other Information Services,2011,737,19622,$2282309571,$116314
Labor Market Area,New York City Region,52,Finance and Insurance,2011,11935,315728,$84717073233,$268323
Labor Market Area,New York City Region,522,Credit Intermediation & Related Activity,2011,3587,87305,$14967924604,$171444
Labor Market Area,New York City Region,523,Financial Investment & Related Activity,2011,5682,167414,$60748807043,$362866
Labor Market Area,New York City Region,524,Insurance Carriers & Related Activities,2011,2434,52186,$7364543445,$141121
Labor Market Area,New York City Region,525,"Funds, Trusts & Other Financial Vehicles",2011,228,6232,$1275774260,$204713
Labor Market Area,New York City Region,53,Real Estate and Rental and Leasing,2011,20337,116505,$7303677212,$62690
Labor Market Area,New York City Region,531,Real Estate,2011,19451,107174,$6700060963,$62516
Labor Market Area,New York City Region,532,Rental and Leasing Services,2011,750,7280,$362993540,$49862
Labor Market Area,New York City Region,533,"Lessors, Nonfinancial Intangible Assets",2011,136,2051,$240622709,$117320
Labor Market Area,New York City Region,54,Professional and Technical Services,2011,26577,323247,$36569946783,$113133
Labor Market Area,New York City Region,541,Professional and Technical Services,2011,26577,323247,$36569946783,$113133
Labor Market Area,New York City Region,55,Management of Companies and Enterprises,2011,1386,62946,$11883496785,$188789
Labor Market Area,New York City Region,551,Management of Companies and Enterprises,2011,1386,62946,$11883496785,$188789
Labor Market Area,New York City Region,56,Administrative and Waste Services,2011,9575,186957,$9076598379,$48549
Labor Market Area,New York City Region,561,Administrative and Support Services,2011,9250,180162,$8735918562,$48489
Labor Market Area,New York City Region,562,Waste Management and Remediation Service,2011,325,6795,$340679817,$50137
Labor Market Area,New York City Region,61,Educational Services,2011,3460,147200,$8035332922,$54588
Labor Market Area,New York City Region,611,Educational Services,2011,3460,147200,$8035332922,$54588
Labor Market Area,New York City Region,62,Health Care and Social Assistance,2011,21169,580137,$27550259024,$47489
Labor Market Area,New York City Region,621,Ambulatory Health Care Services,2011,15525,188256,$8789776429,$46691
Labor Market Area,New York City Region,622,Hospitals,2011,71,153513,$11333159541,$73825
Labor Market Area,New York City Region,623,Nursing and Residential Care Facilities,2011,1246,75272,$2901822473,$38551
Labor Market Area,New York City Region,624,Social Assistance,2011,4327,163096,$4525500581,$27747
Labor Market Area,New York City Region,71,"Arts, Entertainment, and Recreation",2011,4979,67277,$4303733644,$63970
Labor Market Area,New York City Region,711,Performing Arts and Spectator Sports,2011,3782,33514,$3128431885,$93347
Labor Market Area,New York City Region,712,"Museums, Parks and Historical Sites",2011,221,11671,$587973476,$50379
Labor Market Area,New York City Region,713,"Amusement, Gambling & Recreation Ind",2011,976,22093,$587328283,$26584
Labor Market Area,New York City Region,72,Accommodation and Food Services,2011,19037,270152,$7891374161,$29211
Labor Market Area,New York City Region,721,Accommodation,2011,663,44699,$2361680103,$52835
Labor Market Area,New York City Region,722,Food Services and Drinking Places,2011,18374,225453,$5529694058,$24527
Labor Market Area,New York City Region,81,"Other Services, Ex. Public Admin",2011,32178,147172,$6607940768,$44899
Labor Market Area,New York City Region,811,Repair and Maintenance,2011,3342,13592,$436164034,$32090
Labor Market Area,New York City Region,812,Personal and Laundry Services,2011,10022,47417,$1321665520,$27873
Labor Market Area,New York City Region,813,Membership Organizations & Associations,2011,6295,70076,$4332017060,$61819
Labor Market Area,New York City Region,814,Private Households,2011,12519,16087,$518094154,$32206
Labor Market Area,New York City Region,953,Local Government,2011,114,442042,$24604994435,$55662
Labor Market Area,New York City Region,99,Unclassified,2011,13025,13326,$529435313,$39729
Labor Market Area,New York City Region,0,"Total, All Industries",2011,239146,3663121,$292931918211,$79968
Labor Market Area,New York City Region,1,"Total, All Private",2011,238504,3130365,$261907283982,$83667
Labor Market Area,New York City Region,95,"Total, All Government",2011,642,532756,$31024634229,$58234
Labor Market Area,New York City Region,951,Federal Government,2011,404,51512,$3978100544,$77227
Labor Market Area,New York City Region,952,State Government,2011,124,39202,$2441539250,$62281
Labor Market Area,New York City Region,11,"Agriculture, Forestry, Fishing & Hunting",2010,52,240,$13532352,$56385
Labor Market Area,New York City Region,111,Crop Production,2010,24,60,$1734682,$28911
Labor Market Area,New York City Region,112,Animal Production,2010,14,64,$2034783,$31793
Labor Market Area,New York City Region,115,Agriculture & Forestry Support Activity,2010,13,115,$9748887,$84773
Labor Market Area,New York City Region,21,Mining,2010,14,52,$7844434,$150855
Labor Market Area,New York City Region,211,Oil and Gas Extraction,2010,3,13,$2337953,$179843
Labor Market Area,New York City Region,212,Mining (except Oil and Gas),2010,6,27,$5011773,$185621
Labor Market Area,New York City Region,213,Support Activities for Mining,2010,5,12,$494708,$41226
Labor Market Area,New York City Region,22,Utilities,2010,65,15799,$1506727877,$95369
Labor Market Area,New York City Region,221,Utilities,2010,65,15799,$1506727877,$95369
Labor Market Area,New York City Region,23,Construction,2010,12449,108973,$7589958232,$69650
Labor Market Area,New York City Region,236,Construction of Buildings,2010,4879,29116,$2027857376,$69648
Labor Market Area,New York City Region,237,Heavy and Civil Engineering Construction,2010,292,9706,$929829261,$95799
Labor Market Area,New York City Region,238,Specialty Trade Contractors,2010,7278,70151,$4632271595,$66033
Labor Market Area,New York City Region,31,Manufacturing,2010,6181,76258,$4075894861,$53449
Labor Market Area,New York City Region,311,Food Manufacturing,2010,1006,14353,$481579741,$33553
Labor Market Area,New York City Region,312,Beverage & Tobacco Product Manufacturing,2010,33,939,$314330806,$334751
Labor Market Area,New York City Region,313,Textile Mills,2010,172,1464,$105553593,$72099
Labor Market Area,New York City Region,314,Textile Product Mills,2010,148,1165,$70670375,$60661
Labor Market Area,New York City Region,315,Apparel Manufacturing,2010,1242,16769,$868322645,$51781
Labor Market Area,New York City Region,316,Leather and Allied Product Manufacturing,2010,72,535,$23859313,$44597
Labor Market Area,New York City Region,321,Wood Product Manufacturing,2010,76,703,$31821336,$45265
Labor Market Area,New York City Region,322,Paper Manufacturing,2010,63,1583,$82398289,$52052
Labor Market Area,New York City Region,323,Printing and Related Support Activities,2010,708,6509,$393335025,$60429
Labor Market Area,New York City Region,324,Petroleum & Coal Products Manufacturing,2010,9,82,$6168972,$75231
Labor Market Area,New York City Region,325,Chemical Manufacturing,2010,124,3285,$264407832,$80489
Labor Market Area,New York City Region,326,Plastics & Rubber Products Manufacturing,2010,80,1639,$62789127,$38309
Labor Market Area,New York City Region,327,Nonmetallic Mineral Product Mfg,2010,127,1590,$82436067,$51847
Labor Market Area,New York City Region,331,Primary Metal Manufacturing,2010,42,326,$20649584,$63342
Labor Market Area,New York City Region,332,Fabricated Metal Product Manufacturing,2010,429,6071,$289736958,$47725
Labor Market Area,New York City Region,333,Machinery Manufacturing,2010,104,1566,$77230622,$49317
Labor Market Area,New York City Region,334,Computer and Electronic Product Mfg,2010,134,2840,$174303416,$61374
Labor Market Area,New York City Region,335,Electrical Equipment and Appliances,2010,73,1013,$59888445,$59120
Labor Market Area,New York City Region,336,Transportation Equipment Manufacturing,2010,54,1505,$91212084,$60606
Labor Market Area,New York City Region,337,Furniture and Related Product Mfg,2010,422,3195,$137367025,$42994
Labor Market Area,New York City Region,339,Miscellaneous Manufacturing,2010,1066,9126,$437833606,$47977
Labor Market Area,New York City Region,42,Wholesale Trade,2010,15586,128451,$10028045263,$78069
Labor Market Area,New York City Region,423,"Merchant Wholesalers, Durable Goods",2010,6323,49071,$3604726666,$73459
Labor Market Area,New York City Region,424,"Merchant Wholesalers, Nondurable Goods",2010,6923,67813,$5304832654,$78227
Labor Market Area,New York City Region,425,Electronic Markets and Agents/Brokers,2010,2340,11567,$1118485943,$96696
Labor Market Area,New York City Region,44,Retail Trade,2010,30480,300252,$10410612951,$34673
Labor Market Area,New York City Region,441,Motor Vehicle and Parts Dealers,2010,795,9940,$507719745,$51078
Labor Market Area,New York City Region,442,Furniture and Home Furnishings Stores,2010,1440,9392,$360398586,$38373
Labor Market Area,New York City Region,443,Electronics and Appliance Stores,2010,1529,16206,$742869113,$45839
Labor Market Area,New York City Region,444,Building Material & Garden Supply Stores,2010,1226,12879,$469837237,$36481
Labor Market Area,New York City Region,445,Food and Beverage Stores,2010,8662,67127,$1669933682,$24877
Labor Market Area,New York City Region,446,Health and Personal Care Stores,2010,3704,37095,$1472958408,$39708
Labor Market Area,New York City Region,447,Gasoline Stations,2010,617,3182,$72531761,$22794
Labor Market Area,New York City Region,448,Clothing and Clothing Accessories Stores,2010,5829,70423,$2393978496,$33994
Labor Market Area,New York City Region,451,Sporting Goods/Hobby/Book/Music Stores,2010,1423,12421,$302105340,$24322
Labor Market Area,New York City Region,452,General Merchandise Stores,2010,1198,35477,$1066710578,$30068
Labor Market Area,New York City Region,453,Miscellaneous Store Retailers,2010,3289,17697,$768657468,$43434
Labor Market Area,New York City Region,454,Nonstore Retailers,2010,768,8412,$582912537,$69295
Labor Market Area,New York City Region,48,Transportation and Warehousing,2010,4549,100405,$4853692952,$48341
Labor Market Area,New York City Region,481,Air Transportation,2010,154,26447,$1540484448,$58248
Labor Market Area,New York City Region,483,Water Transportation,2010,48,1671,$157423442,$94209
Labor Market Area,New York City Region,484,Truck Transportation,2010,1114,8594,$361025161,$42009
Labor Market Area,New York City Region,485,Transit and Ground Passenger Transport,2010,1299,28554,$1151458255,$40326
Labor Market Area,New York City Region,486,Pipeline Transportation,2010,4,17,$1971023,$115943
Labor Market Area,New York City Region,487,Scenic and Sightseeing Transportation,2010,61,1408,$43023363,$30556
Labor Market Area,New York City Region,488,Support Activities for Transportation,2010,1132,14524,$770934704,$53080
Labor Market Area,New York City Region,492,Couriers and Messengers,2010,570,15405,$666409206,$43259
Labor Market Area,New York City Region,493,Warehousing and Storage,2010,164,3775,$160679851,$42564
Labor Market Area,New York City Region,51,Information,2010,5707,149765,$16146973677,$107815
Labor Market Area,New York City Region,511,Publishing Industries,2010,1177,45987,$4949468304,$107628
Labor Market Area,New York City Region,512,Motion Picture & Sound Recording Ind,2010,2372,33338,$3345325340,$100346
Labor Market Area,New York City Region,515,Broadcasting (except Internet),2010,236,27018,$3296538795,$122013
Labor Market Area,New York City Region,517,Telecommunications,2010,866,20275,$2058119227,$101510
Labor Market Area,New York City Region,518,"ISPs, Search Portals, & Data Processing",2010,373,4877,$591653276,$121315
Labor Market Area,New York City Region,519,Other Information Services,2010,685,18271,$1905868735,$104311
Labor Market Area,New York City Region,52,Finance and Insurance,2010,11937,305822,$79815300409,$260986
Labor Market Area,New York City Region,522,Credit Intermediation & Related Activity,2010,3523,83154,$13100670874,$157547
Labor Market Area,New York City Region,523,Financial Investment & Related Activity,2010,5749,161685,$58397894799,$361183
Labor Market Area,New York City Region,524,Insurance Carriers & Related Activities,2010,2434,52319,$6912293548,$132118
Labor Market Area,New York City Region,525,"Funds, Trusts & Other Financial Vehicles",2010,227,6119,$1059478422,$173146
Labor Market Area,New York City Region,53,Real Estate and Rental and Leasing,2010,20280,116364,$7074007674,$60792
Labor Market Area,New York City Region,531,Real Estate,2010,19374,107114,$6496499472,$60650
Labor Market Area,New York City Region,532,Rental and Leasing Services,2010,772,7156,$338482989,$47301
Labor Market Area,New York City Region,533,"Lessors, Nonfinancial Intangible Assets",2010,135,2094,$239025213,$114148
Labor Market Area,New York City Region,54,Professional and Technical Services,2010,26549,310990,$34057213595,$109512
Labor Market Area,New York City Region,541,Professional and Technical Services,2010,26549,310990,$34057213595,$109512
Labor Market Area,New York City Region,55,Management of Companies and Enterprises,2010,1348,60922,$11372976713,$186681
Labor Market Area,New York City Region,551,Management of Companies and Enterprises,2010,1348,60922,$11372976713,$186681
Labor Market Area,New York City Region,56,Administrative and Waste Services,2010,9480,181862,$9162772972,$50383
Labor Market Area,New York City Region,561,Administrative and Support Services,2010,9146,175272,$8835785485,$50412
Labor Market Area,New York City Region,562,Waste Management and Remediation Service,2010,334,6590,$326987487,$49619
Labor Market Area,New York City Region,61,Educational Services,2010,3324,142425,$7487113143,$52569
Labor Market Area,New York City Region,611,Educational Services,2010,3324,142425,$7487113143,$52569
Labor Market Area,New York City Region,62,Health Care and Social Assistance,2010,20812,572000,$27013216983,$47226
Labor Market Area,New York City Region,621,Ambulatory Health Care Services,2010,15312,178901,$8476803995,$47383
Labor Market Area,New York City Region,622,Hospitals,2010,71,154207,$11035150687,$71561
Labor Market Area,New York City Region,623,Nursing and Residential Care Facilities,2010,1232,76415,$2986415560,$39082
Labor Market Area,New York City Region,624,Social Assistance,2010,4198,162477,$4514846741,$27788
Labor Market Area,New York City Region,71,"Arts, Entertainment, and Recreation",2010,4982,66354,$4245751656,$63986
Labor Market Area,New York City Region,711,Performing Arts and Spectator Sports,2010,3786,34053,$3142648055,$92287
Labor Market Area,New York City Region,712,"Museums, Parks and Historical Sites",2010,223,11448,$570459716,$49831
Labor Market Area,New York City Region,713,"Amusement, Gambling & Recreation Ind",2010,973,20854,$532643885,$25542
Labor Market Area,New York City Region,72,Accommodation and Food Services,2010,18254,251378,$7185641713,$28585
Labor Market Area,New York City Region,721,Accommodation,2010,619,42206,$2154841094,$51055
Labor Market Area,New York City Region,722,Food Services and Drinking Places,2010,17635,209172,$5030800619,$24051
Labor Market Area,New York City Region,81,"Other Services, Ex. Public Admin",2010,31493,142552,$6316614883,$44311
Labor Market Area,New York City Region,811,Repair and Maintenance,2010,3331,13296,$438080530,$32948
Labor Market Area,New York City Region,812,Personal and Laundry Services,2010,9604,45009,$1260704109,$28010
Labor Market Area,New York City Region,813,Membership Organizations & Associations,2010,6204,68651,$4123348050,$60062
Labor Market Area,New York City Region,814,Private Households,2010,12355,15596,$494482194,$31706
Labor Market Area,New York City Region,953,Local Government,2010,119,449705,$24578140180,$54654
Labor Market Area,New York City Region,99,Unclassified,2010,11844,11929,$493954857,$41408
Labor Market Area,New York City Region,0,"Total, All Industries",2010,236025,3590842,$280074537111,$77997
Labor Market Area,New York City Region,1,"Total, All Private",2010,235383,3042793,$248857847197,$81786
Labor Market Area,New York City Region,95,"Total, All Government",2010,642,548049,$31216689914,$56960
Labor Market Area,New York City Region,951,Federal Government,2010,399,57910,$4113620394,$71035
Labor Market Area,New York City Region,952,State Government,2010,124,40434,$2524929340,$62446
Labor Market Area,New York City Region,11,"Agriculture, Forestry, Fishing & Hunting",2009,51,218,$13425867,$61587
Labor Market Area,New York City Region,111,Crop Production,2009,23,53,$1640222,$30948
Labor Market Area,New York City Region,112,Animal Production,2009,13,49,$1647013,$33613
Labor Market Area,New York City Region,115,Agriculture & Forestry Support Activity,2009,13,113,$10062907,$89052
Labor Market Area,New York City Region,21,Mining,2009,14,44,$5014223,$113960
Labor Market Area,New York City Region,211,Oil and Gas Extraction,2009,3,14,$2075970,$148284
Labor Market Area,New York City Region,212,Mining (except Oil and Gas),2009,6,15,$2375550,$158370
Labor Market Area,New York City Region,213,Support Activities for Mining,2009,5,15,$562703,$37514
Labor Market Area,New York City Region,22,Utilities,2009,60,16151,$1464045594,$90647
Labor Market Area,New York City Region,221,Utilities,2009,60,16151,$1464045594,$90647
Labor Market Area,New York City Region,23,Construction,2009,12731,117110,$8115719083,$69300
Labor Market Area,New York City Region,236,Construction of Buildings,2009,5045,31983,$2189561129,$68460
Labor Market Area,New York City Region,237,Heavy and Civil Engineering Construction,2009,316,8732,$870160131,$99652
Labor Market Area,New York City Region,238,Specialty Trade Contractors,2009,7370,76395,$5055997823,$66182
Labor Market Area,New York City Region,31,Manufacturing,2009,6465,81551,$4199034454,$51490
Labor Market Area,New York City Region,311,Food Manufacturing,2009,967,14016,$478273514,$34123
Labor Market Area,New York City Region,312,Beverage & Tobacco Product Manufacturing,2009,35,802,$192550991,$240089
Labor Market Area,New York City Region,313,Textile Mills,2009,193,1497,$106460179,$71116
Labor Market Area,New York City Region,314,Textile Product Mills,2009,163,1258,$68831544,$54715
Labor Market Area,New York City Region,315,Apparel Manufacturing,2009,1323,17925,$911877766,$50872
Labor Market Area,New York City Region,316,Leather and Allied Product Manufacturing,2009,72,577,$26041872,$45133
Labor Market Area,New York City Region,321,Wood Product Manufacturing,2009,83,827,$36190340,$43761
Labor Market Area,New York City Region,322,Paper Manufacturing,2009,70,1995,$99775670,$50013
Labor Market Area,New York City Region,323,Printing and Related Support Activities,2009,809,7567,$430228743,$56856
Labor Market Area,New York City Region,324,Petroleum & Coal Products Manufacturing,2009,9,85,$6450265,$75885
Labor Market Area,New York City Region,325,Chemical Manufacturing,2009,131,3340,$268549006,$80404
Labor Market Area,New York City Region,326,Plastics & Rubber Products Manufacturing,2009,85,1619,$59924519,$37013
Labor Market Area,New York City Region,327,Nonmetallic Mineral Product Mfg,2009,128,2021,$98203924,$48592
Labor Market Area,New York City Region,331,Primary Metal Manufacturing,2009,44,355,$23846344,$67173
Labor Market Area,New York City Region,332,Fabricated Metal Product Manufacturing,2009,435,6481,$309334289,$47729
Labor Market Area,New York City Region,333,Machinery Manufacturing,2009,110,1823,$84550209,$46380
Labor Market Area,New York City Region,334,Computer and Electronic Product Mfg,2009,137,2903,$160635528,$55334
Labor Market Area,New York City Region,335,Electrical Equipment and Appliances,2009,73,1704,$128558529,$75445
Labor Market Area,New York City Region,336,Transportation Equipment Manufacturing,2009,58,1647,$93908122,$57018
Labor Market Area,New York City Region,337,Furniture and Related Product Mfg,2009,445,3507,$147462985,$42048
Labor Market Area,New York City Region,339,Miscellaneous Manufacturing,2009,1099,9603,$467380115,$48670
Labor Market Area,New York City Region,42,Wholesale Trade,2009,15805,129536,$9611468986,$74199
Labor Market Area,New York City Region,423,"Merchant Wholesalers, Durable Goods",2009,6458,50700,$3581959294,$70650
Labor Market Area,New York City Region,424,"Merchant Wholesalers, Nondurable Goods",2009,6974,67375,$4971396299,$73787
Labor Market Area,New York City Region,425,Electronic Markets and Agents/Brokers,2009,2373,11462,$1058113393,$92315
Labor Market Area,New York City Region,44,Retail Trade,2009,29779,287844,$9881753126,$34330
Labor Market Area,New York City Region,441,Motor Vehicle and Parts Dealers,2009,812,9863,$479596720,$48626
Labor Market Area,New York City Region,442,Furniture and Home Furnishings Stores,2009,1474,9507,$370715627,$38994
Labor Market Area,New York City Region,443,Electronics and Appliance Stores,2009,1376,14295,$658424681,$46060
Labor Market Area,New York City Region,444,Building Material & Garden Supply Stores,2009,1243,12752,$481251163,$37739
Labor Market Area,New York City Region,445,Food and Beverage Stores,2009,8083,64158,$1571806901,$24499
Labor Market Area,New York City Region,446,Health and Personal Care Stores,2009,3598,36230,$1435751043,$39629
Labor Market Area,New York City Region,447,Gasoline Stations,2009,618,3119,$71974443,$23076
Labor Market Area,New York City Region,448,Clothing and Clothing Accessories Stores,2009,5917,67170,$2307575679,$34354
Labor Market Area,New York City Region,451,Sporting Goods/Hobby/Book/Music Stores,2009,1434,12729,$312914515,$24583
Labor Market Area,New York City Region,452,General Merchandise Stores,2009,1096,32386,$933810273,$28834
Labor Market Area,New York City Region,453,Miscellaneous Store Retailers,2009,3363,17647,$726455443,$41166
Labor Market Area,New York City Region,454,Nonstore Retailers,2009,767,7988,$531476638,$66534
Labor Market Area,New York City Region,48,Transportation and Warehousing,2009,4520,101881,$4756972585,$46691
Labor Market Area,New York City Region,481,Air Transportation,2009,164,26176,$1482844860,$56649
Labor Market Area,New York City Region,483,Water Transportation,2009,44,1824,$168012782,$92112
Labor Market Area,New York City Region,484,Truck Transportation,2009,1080,8413,$350895191,$41709
Labor Market Area,New York City Region,485,Transit and Ground Passenger Transport,2009,1293,28685,$1127781163,$39316
Labor Market Area,New York City Region,486,Pipeline Transportation,2009,5,19,$1832615,$96453
Labor Market Area,New York City Region,487,Scenic and Sightseeing Transportation,2009,60,1279,$38956094,$30458
Labor Market Area,New York City Region,488,Support Activities for Transportation,2009,1154,14979,$758149092,$50614
Labor Market Area,New York City Region,492,Couriers and Messengers,2009,558,16839,$677511641,$40235
Labor Market Area,New York City Region,493,Warehousing and Storage,2009,160,3652,$150416206,$41187
Labor Market Area,New York City Region,51,Information,2009,5743,148376,$15225949843,$102617
Labor Market Area,New York City Region,511,Publishing Industries,2009,1170,48554,$5104765717,$105136
Labor Market Area,New York City Region,512,Motion Picture & Sound Recording Ind,2009,2318,28997,$2896849747,$99902
Labor Market Area,New York City Region,515,Broadcasting (except Internet),2009,233,27130,$3242348276,$119512
Labor Market Area,New York City Region,517,Telecommunications,2009,1014,22684,$2078837115,$91643
Labor Market Area,New York City Region,518,"ISPs, Search Portals, & Data Processing",2009,371,4996,$560760274,$112242
